Experiment,Title,Scale,Beta,Seed,Epoch,Val_Acc,Depth_Ratio,GSI,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,9,0.911110268,8.631020602,0.976332795,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,10,0.912757647,8.945439133,0.981609012,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,1,0.92371727,9.186889497,0.928626068,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,2,0.914805827,7.519741455,0.914850561,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,3,0.911166488,8.421601796,0.964593725,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,4,0.927512263,9.192570932,0.871729679,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,5,0.92840915,9.302060822,0.889594239,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,6,0.92841962,7.389327971,0.945273946,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,7,0.929726978,8.728805928,0.908782458,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,8,0.910423412,9.347065724,0.870008168,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,9,0.928482768,9.197324197,0.906177011,,,,,,,,,
9,Initialization × Activation Interaction Study,0.5,0.2,42,10,0.92040129,8.106936472,0.912791114,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,1,0.902168846,7.130774308,0.925402778,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,2,0.905069784,7.174564909,0.8773683,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,3,0.916783959,8.196496867,0.880818018,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,4,0.928612784,7.917396794,0.876943549,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,5,0.919741654,7.118578258,0.916294198,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,6,0.905362624,7.266606795,0.913769713,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,7,0.918020919,7.809677176,0.882112853,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,8,0.920099783,8.621263797,0.899228556,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,9,0.903605991,8.972704755,0.868885574,,,,,,,,,
10,Initialization × Activation Interaction Study,0.5,0.2,123,10,0.907652135,7.274737958,0.86856998,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,1,0.908258852,6.621856604,0.859305887,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,2,0.917006098,6.56242216,0.880017674,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,3,0.901108967,7.20756881,0.896725039,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,4,0.903565041,6.999180746,0.948221536,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,5,0.919898772,8.724903674,0.915195183,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,6,0.905547183,7.172912389,0.938787048,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,7,0.917695981,8.029005015,0.880372183,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,8,0.904557377,7.517284831,0.915702193,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,9,0.900199111,6.798530451,0.918745074,,,,,,,,,
11,Initialization × Activation Interaction Study,0.5,0.2,999,10,0.90872549,8.918460103,0.898204452,,,,,,,,,
12,True Baseline Configuration,1,0,42,1,0.93620067,11.85160561,1.024835516,,,,,,,,,
12,True Baseline Configuration,1,0,42,2,0.928073427,11.26990294,1.074673721,,,,,,,,,
12,True Baseline Configuration,1,0,42,3,0.932923926,10.57827336,1.06690308,,,,,,,,,
12,True Baseline Configuration,1,0,42,4,0.921104553,10.61699711,0.969867467,,,,,,,,,
12,True Baseline Configuration,1,0,42,5,0.931521187,9.836972108,0.982594549,,,,,,,,,
12,True Baseline Configuration,1,0,42,6,0.930904675,10.60322806,1.069114961,,,,,,,,,
12,True Baseline Configuration,1,0,42,7,0.925038025,10.20000449,1.022913482,,,,,,,,,
12,True Baseline Configuration,1,0,42,8,0.929724374,10.38817346,0.962119906,,,,,,,,,
12,True Baseline Configuration,1,0,42,9,0.937403331,10.63441451,1.065459754,,,,,,,,,
12,True Baseline Configuration,1,0,42,10,0.930901813,11.07111479,0.967752701,,,,,,,,,
13,True Baseline Configuration,1,0,123,1,0.918630636,10.33180544,0.992125127,,,,,,,,,
13,True Baseline Configuration,1,0,123,2,0.929101966,10.9672382,0.98904585,,,,,,,,,
13,True Baseline Configuration,1,0,123,3,0.929298492,10.50619718,0.967917525,,,,,,,,,
